词	TF	IDF	Raw_Score	Final_Score
变长	0.343775	7.402045	5.475581	0.722376
DLCI	0.153101	7.807307	5.232207	0.702406
宽带数据	0.153101	7.807307	5.232207	0.702406
自行设计	0.274318	7.402045	5.363232	0.713301
整套	0.282919	7.402045	5.378597	0.714557
芯片组	0.153101	7.807307	5.232207	0.702406
负反馈	0.398809	7.402045	5.549529	0.728217
解上	0.160914	7.807307	5.256961	0.704490
偏流	0.244285	7.807307	5.464713	0.721509
Lynch	0.243269	7.807307	5.462638	0.721343
Davisson	0.243269	7.807307	5.462638	0.721343
CPLD	0.262268	7.807307	5.500082	0.724323
与姗子	0.185967	7.807307	5.328948	0.710483
审视	0.122305	7.807307	5.120550	0.692855
弥聚子论	0.373926	7.114566	5.399115	0.716226
宇观	0.515121	7.402045	5.677021	0.738044
波粒二象性	0.187476	7.807307	5.332968	0.710814
介观	0.232140	7.402045	5.280166	0.706433
实	0.535103	6.891626	5.482441	0.722923
抽象化	0.122305	7.807307	5.120550	0.692855
弥聚子	0.187476	7.807307	5.332968	0.710814
波数	0.187476	7.807307	5.332968	0.710814
应以	0.122305	7.807307	5.120550	0.692855
时取	0.122305	7.807307	5.120550	0.692855
极小值	0.515836	7.114566	5.559309	0.728982
见解	0.187476	7.807307	5.332968	0.710814
双极	0.122305	7.807307	5.120550	0.692855
姗子	0.187476	7.807307	5.332968	0.710814
必然性	0.294790	7.402045	5.399054	0.716221
自发发射	0.122305	7.807307	5.120550	0.692855
受激发射	0.122305	7.807307	5.120550	0.692855
爱因斯坦	0.357698	7.402045	5.495350	0.723948
推测	0.490495	6.891626	5.439104	0.719456
了姗子	0.122305	7.807307	5.120550	0.692855
激射	0.122305	7.807307	5.120550	0.692855
超级	0.351139	7.402045	5.486134	0.723216
几率	0.240984	7.402045	5.298766	0.707983
臻于完善	0.122305	7.807307	5.120550	0.692855
将光	0.122305	7.807307	5.120550	0.692855
对亚	0.136822	7.807307	5.176307	0.697655
投影变换	0.136822	7.807307	5.176307	0.697655
平方差	0.136822	7.807307	5.176307	0.697655
描述符	0.724685	6.709508	5.553449	0.728524
信息中心	0.710595	6.891626	5.623713	0.733973
ICN	0.508803	7.402045	5.670873	0.737577
交错	0.261074	7.402045	5.338608	0.711279
软件保护	0.217495	7.807307	5.406887	0.716856
Dalvik	0.144630	7.807307	5.203901	0.700008
QR	0.747956	6.891626	5.649242	0.735929
Arnold	0.483492	7.114566	5.527058	0.726453
高强度	0.262790	7.402045	5.341867	0.711547
过期	0.354647	7.402045	5.491084	0.723610
蔡氏	0.579448	7.402045	5.735664	0.742462
多涡	0.442304	7.402045	5.601091	0.732229
转折点	0.143268	7.807307	5.199198	0.699608
正中间	0.143268	7.807307	5.199198	0.699608
子中	0.143268	7.807307	5.199198	0.699608
涡卷	0.268559	7.807307	5.511885	0.725257
相互间	0.143268	7.807307	5.199198	0.699608
域入	0.135661	7.807307	5.172069	0.697293
其入	0.135661	7.807307	5.172069	0.697293
SHAPLEY	0.207245	7.807307	5.382859	0.714904
收益分配	0.207245	7.807307	5.382859	0.714904
区域化	0.386556	7.402045	5.533988	0.726998
城区	0.544394	6.891626	5.491013	0.723604
LGSH	0.138837	7.807307	5.183577	0.698277
DNP	0.138837	7.807307	5.183577	0.698277
成该	0.138837	7.807307	5.183577	0.698277
KB	0.136822	7.807307	5.176307	0.697655
512B	0.136822	7.807307	5.176307	0.697655
28	0.547186	6.709508	5.413559	0.717396
对轮	0.136822	7.807307	5.176307	0.697655
表法	0.136822	7.807307	5.176307	0.697655
72%	0.136822	7.807307	5.176307	0.697655
43%	0.136822	7.807307	5.176307	0.697655
加速器	0.419291	7.402045	5.574474	0.730164
55%	0.136822	7.807307	5.176307	0.697655
61%	0.136822	7.807307	5.176307	0.697655
修正率	0.199465	7.807307	5.363816	0.713349
中多流	0.132174	7.807307	5.159124	0.696182
流间	0.619289	6.709508	5.475183	0.722345
车流	0.206914	7.807307	5.382064	0.714839
网络理论	0.375322	7.114566	5.400970	0.716377
干扰能力	0.269885	7.402045	5.355123	0.712636
Park	0.147243	7.807307	5.212804	0.700764
尖锐	0.147243	7.807307	5.212804	0.700764
旁峰	0.147243	7.807307	5.212804	0.700764
渗透	0.325083	7.807307	5.607022	0.732687
危害性	0.153101	7.807307	5.232207	0.702406
且易	0.271273	7.402045	5.357676	0.712846
幂率	0.220451	7.807307	5.413605	0.717400
ACP	0.263156	7.807307	5.501764	0.724456
AMSA	0.223144	7.807307	5.419649	0.717889
退火	0.907528	6.555560	5.596144	0.731846
相互之间	0.146463	7.807307	5.210166	0.700540
Tomlinson	0.132743	7.807307	5.161262	0.696366
Harashima	0.132743	7.807307	5.161262	0.696366
THP	0.249913	7.807307	5.476054	0.722414
求逆及	0.132743	7.807307	5.161262	0.696366
92.5%	0.132743	7.807307	5.161262	0.696366
69.7%	0.132743	7.807307	5.161262	0.696366
WZ	0.396810	7.807307	5.706362	0.740263
条件期望	0.138837	7.807307	5.183577	0.698277
光线	0.425848	7.114566	5.463843	0.721440
前部	0.134145	7.807307	5.166485	0.696814
RSU	0.549409	7.402045	5.709134	0.740471
路边	0.145344	7.807307	5.206352	0.700217
前人	0.219434	7.807307	5.411304	0.717214
combined	0.175598	7.807307	5.300403	0.708119
input	0.403176	7.114566	5.436606	0.719256
crosspointqueued	0.175598	7.807307	5.300403	0.708119
LQF	0.265626	7.807307	5.506416	0.724825
DDS	0.235202	7.807307	5.445849	0.719998
合成器	0.307792	7.402045	5.420538	0.717960
抛物线	0.271078	7.402045	5.357320	0.712817
56	0.160217	7.807307	5.254803	0.704309
信	0.499543	6.891626	5.448203	0.720187
辅以	0.379136	7.114566	5.406002	0.716785
ROM	0.484507	7.114566	5.528102	0.726536
MCU	0.304692	7.807307	5.574753	0.730186
323	0.312732	7.402045	5.428463	0.718600
MP	0.178112	7.807307	5.307475	0.708706
网段	0.260684	7.807307	5.497064	0.724084
KNS	0.269266	7.807307	5.513193	0.725360
key	0.402354	7.402045	5.553937	0.728562
segment	0.178112	7.807307	5.307475	0.708706
KN	0.178112	7.807307	5.307475	0.708706
多通道	0.863195	6.555560	5.571196	0.729909
组子	0.168197	7.807307	5.278980	0.706334
变换处理	0.168197	7.807307	5.278980	0.706334
失和	0.168197	7.807307	5.278980	0.706334
察觉	0.168197	7.807307	5.278980	0.706334
余量	0.332202	7.402045	5.458532	0.721015
余	0.140786	7.807307	5.190508	0.698868
量变	0.140786	7.807307	5.190508	0.698868
大时	0.382677	7.114566	5.410629	0.717159
四色问题	0.489150	7.807307	5.810637	0.748018
平面图	0.715699	6.891626	5.627278	0.734247
四色	0.275351	7.807307	5.524322	0.726238
Kempe	0.182322	7.807307	5.319098	0.709669
纠正错误	0.182322	7.807307	5.319098	0.709669
MSC	0.549969	7.114566	5.591223	0.731465
GSM	0.956749	6.422232	5.561042	0.729117
SMP	0.381368	7.402045	5.527258	0.726469
及下	0.178112	7.807307	5.307475	0.708706
IGMP	0.271204	7.807307	5.516765	0.725642
交换式	0.271204	7.807307	5.516765	0.725642
以太网交换机	0.192887	7.807307	5.347129	0.711980
协定	0.806448	6.555560	5.537328	0.727261
空码	0.231401	7.807307	5.437738	0.719347
SCDM	0.155818	7.807307	5.240955	0.703144
SCTD	0.236846	7.807307	5.449315	0.720276
transmit	0.155818	7.807307	5.240955	0.703144
diversity	0.155818	7.807307	5.240955	0.703144
OPA	0.423705	7.402045	5.579691	0.730570
optimal	0.287346	7.402045	5.386324	0.715186
allocation	0.356960	7.402045	5.494321	0.723866
CFI	0.435564	7.402045	5.593441	0.731637
最佳化	0.143268	7.807307	5.199198	0.699608
对吉	0.142941	7.807307	5.198062	0.699512
DEBA	0.371374	7.402045	5.514035	0.725427
SEBA	0.217969	7.807307	5.407969	0.716944
Bhattacharyya	0.273512	7.402045	5.361767	0.713181
EPD	0.260261	7.807307	5.496256	0.724020
越有	0.138574	7.807307	5.182633	0.698196
置于	0.553381	6.891626	5.499166	0.724251
将空	0.138057	7.807307	5.180775	0.698037
其峰	0.138057	7.807307	5.180775	0.698037
机会主义	0.386046	7.402045	5.533330	0.726947
定标	0.835939	6.891626	5.704657	0.740134
3165	0.161630	7.807307	5.259170	0.704676
通信业	0.256262	7.807307	5.488545	0.723408
知识产权	0.256262	7.807307	5.488545	0.723408
提炼	0.178112	7.807307	5.307475	0.708706
递接	0.178112	7.807307	5.307475	0.708706
WTHX	0.261680	7.807307	5.498962	0.724234
AX	0.139375	7.807307	5.185499	0.698441
WTBX	0.212721	7.807307	5.395838	0.715960
XB	0.139375	7.807307	5.185499	0.698441
WTBZ	0.139375	7.807307	5.185499	0.698441
DWTDCTSVD	0.327037	7.807307	5.610007	0.732917
2756	0.145344	7.807307	5.206352	0.700217
HDP	0.277712	7.807307	5.528575	0.726573
dirichlet	0.151133	7.807307	5.225773	0.701863
process	0.151133	7.807307	5.225773	0.701863
动词	0.487859	7.402045	5.649929	0.735982
依存关系	0.675637	6.709508	5.518546	0.725783
名词	0.609373	6.891626	5.547165	0.728032
狄雷克来	0.229991	7.807307	5.434695	0.719102
DPMM	0.151133	7.807307	5.225773	0.701863
GABBA	0.267414	7.807307	5.509756	0.725089
ABBA	0.144984	7.807307	5.205118	0.700112
子集合	0.154694	7.807307	5.237354	0.702841
组间	0.536960	6.891626	5.484166	0.723060
分簇单	0.327037	7.807307	5.610007	0.732917
簇单	0.163906	7.807307	5.266126	0.705259
clustered	0.163906	7.807307	5.266126	0.705259
DFTsOFDM	0.163906	7.807307	5.266126	0.705259
簇数	0.286505	7.402045	5.384866	0.715067
继子	0.376701	7.402045	5.521126	0.725986
该子	0.360168	7.114566	5.380457	0.714708
过类	0.142619	7.807307	5.196940	0.699416
提前结束	0.142619	7.807307	5.196940	0.699416
459%	0.142619	7.807307	5.196940	0.699416
808%	0.142619	7.807307	5.196940	0.699416
最多为	0.347786	7.402045	5.481357	0.722836
015	0.142619	7.807307	5.196940	0.699416
062%	0.142619	7.807307	5.196940	0.699416
600	0.150666	7.807307	5.224234	0.701733
库中	0.488040	6.891626	5.436606	0.719256
查全率	0.501910	6.891626	5.450557	0.720376
22%	0.150666	7.807307	5.224234	0.701733
分隔	0.287693	7.402045	5.386925	0.715235
ASN	0.304692	7.807307	5.574753	0.730186
毫不	0.151609	7.807307	5.227339	0.701995
知情	0.151609	7.807307	5.227339	0.701995
被劫持	0.151609	7.807307	5.227339	0.701995
无感	0.151609	7.807307	5.227339	0.701995
码抗	0.327037	7.807307	5.610007	0.732917
突发噪声	0.291615	7.807307	5.552904	0.728481
上报	0.246403	7.807307	5.469011	0.721852
半盲	0.890049	6.709508	5.655840	0.736433
Bussgang	0.232129	7.807307	5.439301	0.719472
逆运算	0.576148	6.709508	5.439234	0.719467
七号	0.764636	6.891626	5.660231	0.736768
123	0.161630	7.807307	5.259170	0.704676
HSTP	0.294701	7.402045	5.398904	0.716209
组对	0.161630	7.807307	5.259170	0.704676
qm	0.251026	7.807307	5.478265	0.722590
迹	0.267408	7.807307	5.509746	0.725088
Golomb	0.176829	7.807307	5.303877	0.708407
分拣	0.386589	7.114566	5.415692	0.717569
管制	0.465224	7.114566	5.507878	0.724940
掠夺	0.251026	7.807307	5.478265	0.722590
先进先出	0.287673	7.402045	5.386891	0.715232
控制法	0.759556	6.891626	5.656910	0.736514
十分明确	0.163906	7.807307	5.266126	0.705259
施	0.163906	7.807307	5.266126	0.705259
控点	0.163906	7.807307	5.266126	0.705259
测点	0.163906	7.807307	5.266126	0.705259
非圆	0.299487	7.807307	5.566171	0.729517
车削	0.398855	7.807307	5.708923	0.740456
椭圆型	0.167282	7.807307	5.276268	0.706108
工件	0.852057	6.891626	5.714174	0.740851
四边形	0.396430	7.402045	5.546550	0.727984
八角形	0.167282	7.807307	5.276268	0.706108
NdFe10.5	0.266854	7.807307	5.508713	0.725006
V1.5	0.266854	7.807307	5.508713	0.725006
Nx	0.266854	7.807307	5.508713	0.725006
磁粉	0.303861	7.807307	5.573392	0.730080
合金	0.143938	7.807307	5.201517	0.699806
氮化	0.219434	7.807307	5.411304	0.717214
Br	0.143938	7.807307	5.201517	0.699806
1.08	0.143938	7.807307	5.201517	0.699806
Hcj	0.143938	7.807307	5.201517	0.699806
342	0.143938	7.807307	5.201517	0.699806
kA	0.143938	7.807307	5.201517	0.699806
BH	0.143938	7.807307	5.201517	0.699806
137	0.143938	7.807307	5.201517	0.699806
kJ	0.143938	7.807307	5.201517	0.699806
m3	0.143938	7.807307	5.201517	0.699806
Tc	0.143938	7.807307	5.201517	0.699806
820	0.263052	7.402045	5.342363	0.711588
氮	0.219434	7.807307	5.411304	0.717214
含量	0.219434	7.807307	5.411304	0.717214
禀	0.143938	7.807307	5.201517	0.699806
氮化物	0.143938	7.807307	5.201517	0.699806
淬	0.143938	7.807307	5.201517	0.699806
NdFeB	0.143938	7.807307	5.201517	0.699806
磁能积	0.143938	7.807307	5.201517	0.699806
为子码	0.156400	7.807307	5.242810	0.703301
更进一步	0.279311	7.402045	5.372209	0.714035
恒参	0.379073	7.402045	5.524252	0.726233
MLSE	0.225473	7.807307	5.424817	0.718306
XGM	0.263156	7.807307	5.501764	0.724456
载流子	0.151609	7.807307	5.227339	0.701995
线宽	0.151609	7.807307	5.227339	0.701995
ary	0.451714	7.114566	5.493203	0.723778
高速数据	0.170122	7.807307	5.284641	0.706807
伴随	0.170122	7.807307	5.284641	0.706807
而来	0.170122	7.807307	5.284641	0.706807
多音	0.168197	7.807307	5.278980	0.706334
及样	0.168197	7.807307	5.278980	0.706334
运营者	0.325187	7.402045	5.447905	0.720163
Chida	0.170122	7.807307	5.284641	0.706807
不亚于	0.170122	7.807307	5.284641	0.706807
DSA	0.170122	7.807307	5.284641	0.706807
CNOS	0.170122	7.807307	5.284641	0.706807
削除	0.138837	7.807307	5.183577	0.698277
竞争对手	0.138837	7.807307	5.183577	0.698277
过程中将	0.138837	7.807307	5.183577	0.698277
让步	0.138837	7.807307	5.183577	0.698277
SMFCE	0.229991	7.807307	5.434695	0.719102
分处	0.151133	7.807307	5.225773	0.701863
地点	0.151133	7.807307	5.225773	0.701863
持有	0.472389	6.891626	5.420380	0.717948
按行	0.151133	7.807307	5.225773	0.701863
出半	0.151133	7.807307	5.225773	0.701863
EPA	0.448662	7.402045	5.608200	0.732778
equal	0.152096	7.807307	5.228932	0.702130
素域	0.245329	7.807307	5.466837	0.721679
及准	0.287682	7.807307	5.546141	0.727952
及近	0.167282	7.807307	5.276268	0.706108
array	0.167282	7.807307	5.276268	0.706108
codes	0.460300	7.114566	5.502579	0.724521
as	0.167282	7.807307	5.276268	0.706108
η	0.146849	7.807307	5.211475	0.700652
李亚普诺	0.146849	7.807307	5.211475	0.700652
NCS	0.146849	7.807307	5.211475	0.700652
意识	0.487956	7.402045	5.650027	0.735989
更多人	0.133531	7.807307	5.164205	0.696619
一般来说	0.133531	7.807307	5.164205	0.696619
所谓	0.133531	7.807307	5.164205	0.696619
free	0.133531	7.807307	5.164205	0.696619
ride	0.133531	7.807307	5.164205	0.696619
ZFBF	0.382913	7.114566	5.410936	0.717184
方圆	0.304692	7.807307	5.574753	0.730186
两数	0.146463	7.807307	5.210166	0.700540
变量值	0.409144	7.402045	5.562273	0.729213
Range	0.152096	7.807307	5.228932	0.702130
Analysis	0.152096	7.807307	5.228932	0.702130
Based	0.550542	7.114566	5.591743	0.731505
Interval	0.152096	7.807307	5.228932	0.702130
Computation	0.152096	7.807307	5.228932	0.702130
RABIC	0.152096	7.807307	5.228932	0.702130
链式	0.570138	7.402045	5.727591	0.741858
P1	0.346027	7.402045	5.478832	0.722635
P2	0.346027	7.402045	5.478832	0.722635
...	0.156400	7.807307	5.242810	0.703301
Pn	0.237697	7.807307	5.451101	0.720420
一一	0.384283	7.114566	5.412714	0.717328
逆解	0.639009	7.114566	5.665982	0.737206
旋量	0.151609	7.807307	5.227339	0.701995
球腕	0.151609	7.807307	5.227339	0.701995
姿解	0.151609	7.807307	5.227339	0.701995
搬运	0.713173	6.891626	5.625517	0.734111
Tanner	0.401046	7.402045	5.552316	0.728435
图和积	0.287682	7.807307	5.546141	0.727952
三轴	0.229991	7.807307	5.434695	0.719102
避	0.229991	7.807307	5.434695	0.719102
平行结构	0.154694	7.807307	5.237354	0.702841
对雅	0.154694	7.807307	5.237354	0.702841
将六维	0.154694	7.807307	5.237354	0.702841
圆上	0.214371	7.807307	5.399685	0.716272
上要	0.149760	7.807307	5.221235	0.701479
Wall	0.274190	7.807307	5.522218	0.726072
安全策略	0.407064	7.402045	5.559734	0.729015
OSSM	0.369077	7.402045	5.510945	0.725183
Signal	0.133133	7.807307	5.162720	0.696491
Interference	0.133133	7.807307	5.162720	0.696491
plus	0.133133	7.807307	5.162720	0.696491
Noise	0.133133	7.807307	5.162720	0.696491
Ratio	0.133133	7.807307	5.162720	0.696491
Bargaining	0.133133	7.807307	5.162720	0.696491
Solution	0.133133	7.807307	5.162720	0.696491
拉氏	0.540250	7.114566	5.582342	0.730776
较非	0.133133	7.807307	5.162720	0.696491
GIR	0.245430	7.807307	5.467041	0.721695
具体表现	0.130226	7.807307	5.151743	0.695548
Global	0.149320	7.807307	5.219772	0.701355
Positioning	0.149320	7.807307	5.219772	0.701355
System	0.149320	7.807307	5.219772	0.701355
码直	0.227335	7.807307	5.428912	0.718636
捕	0.227335	7.807307	5.428912	0.718636
新颖性	0.378543	7.402045	5.523555	0.726178
RAM	0.638605	7.114566	5.665667	0.737182
中全	0.149320	7.807307	5.219772	0.701355
流水线结构	0.149320	7.807307	5.219772	0.701355
格林	0.468552	7.114566	5.511427	0.725221
信号线	0.232872	7.807307	5.440893	0.719600
屏蔽线	0.555681	7.402045	5.714791	0.740897
抑制作用	0.267542	7.402045	5.350786	0.712281
辐射功率	0.232872	7.807307	5.440893	0.719600
抑制效应	0.153101	7.807307	5.232207	0.702406
数字电路	0.379313	7.402045	5.524567	0.726257
电磁兼容	0.350586	7.402045	5.485350	0.723154
AMR	0.221501	7.807307	5.415970	0.717591
静默	0.541653	6.891626	5.488499	0.723404
码来	0.148889	7.807307	5.218334	0.701233
PKI	0.230689	7.807307	5.436203	0.719223
PMI	0.230689	7.807307	5.436203	0.719223
登录	0.806130	6.709508	5.606502	0.732647
SSO	0.488944	7.402045	5.651036	0.736066
SAML	0.156400	7.807307	5.242810	0.703301
Cookie	0.156400	7.807307	5.242810	0.703301
共享内存	0.283970	7.402045	5.380441	0.714707
ticket	0.348246	7.402045	5.482016	0.722889
跨域	1.118979	6.422232	5.639068	0.735151
百科全书	0.148050	7.807307	5.215525	0.700995
万	0.148050	7.807307	5.215525	0.700995
余篇	0.148050	7.807307	5.215525	0.700995
超链接	0.148050	7.807307	5.215525	0.700995
及词	0.148050	7.807307	5.215525	0.700995
互现	0.148050	7.807307	5.215525	0.700995
万对	0.148050	7.807307	5.215525	0.700995
关联词	0.148050	7.807307	5.215525	0.700995
定序	0.228637	7.807307	5.431754	0.718865
显得	0.152593	7.807307	5.230555	0.702267
无能为力	0.152593	7.807307	5.230555	0.702267
决策分析	0.439353	7.402045	5.597756	0.731971
决策表	0.152593	7.807307	5.230555	0.702267
Hello	0.170122	7.807307	5.284641	0.706807
定时器	0.512157	6.891626	5.460619	0.721182
SSFNET	0.170122	7.807307	5.284641	0.706807
Masayuki	0.154151	7.807307	5.235606	0.702693
Abe	0.154151	7.807307	5.235606	0.702693
Tatsuaki	0.154151	7.807307	5.235606	0.702693
Okamoto	0.154151	7.807307	5.235606	0.702693
SEED	0.388711	7.807307	5.696085	0.739488
块间	0.142302	7.807307	5.195834	0.699322
架顶	0.224875	7.807307	5.423495	0.718199
架	0.224875	7.807307	5.423495	0.718199
顶	0.224875	7.807307	5.423495	0.718199
MFWT	0.287682	7.807307	5.546141	0.727952
学术论文	0.267414	7.807307	5.509756	0.725089
MFRS	0.270960	7.807307	5.516317	0.725607
控制权	0.268634	7.402045	5.352812	0.712447
类型信息	0.340816	7.402045	5.471277	0.722033
数据文件	0.432713	7.402045	5.590170	0.731383
双置	0.151133	7.807307	5.225773	0.701863
CCN	0.496796	7.402045	5.658973	0.736672
PDM	0.220451	7.807307	5.413605	0.717400
PAM4	0.220451	7.807307	5.413605	0.717400
拍打	0.148466	7.807307	5.216918	0.701113
224	0.148466	7.807307	5.216918	0.701113
DDR2SDRAM	0.327037	7.807307	5.610007	0.732917
双倍	0.257156	7.807307	5.490280	0.723546
动态随机	0.551431	7.114566	5.592546	0.731567
少行	0.136822	7.807307	5.176307	0.697655
多列	0.136822	7.807307	5.176307	0.697655
下短	0.136822	7.807307	5.176307	0.697655
全景	0.399696	7.402045	5.550636	0.728304
Zernike	0.143938	7.807307	5.201517	0.699806
去掉	0.143938	7.807307	5.201517	0.699806
普林斯顿	0.143938	7.807307	5.201517	0.699806
模型库	0.143938	7.807307	5.201517	0.699806
MSR	0.274190	7.807307	5.522218	0.726072
码为	0.143938	7.807307	5.201517	0.699806
步行	0.145711	7.807307	5.207605	0.700323
上楼	0.145711	7.807307	5.207605	0.700323
下楼	0.145711	7.807307	5.207605	0.700323
等易	0.145711	7.807307	5.207605	0.700323
从小	0.145711	7.807307	5.207605	0.700323
域特征数	0.145711	7.807307	5.207605	0.700323
据集	0.269052	7.402045	5.353586	0.712510
种易	0.145711	7.807307	5.207605	0.700323
14.82%	0.145711	7.807307	5.207605	0.700323
SiO2	0.323480	7.807307	5.604559	0.732497
润滑脂	0.366898	7.807307	5.667307	0.737306
流变学	0.210405	7.807307	5.390391	0.715517
摩擦学	0.258897	7.807307	5.493639	0.723812
SG65	0.140210	7.807307	5.188468	0.698694
三辊	0.140210	7.807307	5.188468	0.698694
研磨机	0.140210	7.807307	5.188468	0.698694
粒径	0.213950	7.807307	5.398706	0.716193
MRS	0.140210	7.807307	5.188468	0.698694
1J	0.140210	7.807307	5.188468	0.698694
四球	0.140210	7.807307	5.188468	0.698694
抗磨损	0.140210	7.807307	5.188468	0.698694
试验机	0.140210	7.807307	5.188468	0.698694
安东	0.140210	7.807307	5.188468	0.698694
帕	0.140210	7.807307	5.188468	0.698694
MCR301	0.140210	7.807307	5.188468	0.698694
添加剂	0.213950	7.807307	5.398706	0.716193
抗磨	0.140210	7.807307	5.188468	0.698694
减摩	0.140210	7.807307	5.188468	0.698694
触变性	0.140210	7.807307	5.188468	0.698694
热稳定性	0.140210	7.807307	5.188468	0.698694
双树	0.209673	7.807307	5.388655	0.715376
复小波	0.322412	7.807307	5.602912	0.732369
音频格式	0.137306	7.807307	5.178065	0.697806
实小波	0.293968	7.807307	5.556906	0.728794
分帧	0.260843	7.402045	5.338167	0.711243
每帧	0.209673	7.807307	5.388655	0.715376
模值	0.265799	7.402045	5.347533	0.712013
再分	0.209673	7.807307	5.388655	0.715376
性好	0.137306	7.807307	5.178065	0.697806
Jacobi	0.411069	7.402045	5.564610	0.729396
赛	0.261484	7.402045	5.339388	0.711343
汇播	0.210405	7.807307	5.390391	0.715517
仿照	0.265906	7.402045	5.347732	0.712030
下比	0.380120	7.114566	5.407293	0.716889
语法错误	0.231401	7.807307	5.437738	0.719347
检查	0.646142	6.891626	5.576347	0.730310
CoNLL	0.155818	7.807307	5.240955	0.703144
31.96%	0.155818	7.807307	5.240955	0.703144
31.20%	0.155818	7.807307	5.240955	0.703144
冠词	0.155818	7.807307	5.240955	0.703144
33.45%	0.155818	7.807307	5.240955	0.703144
33.40%	0.155818	7.807307	5.240955	0.703144
45.31%	0.155818	7.807307	5.240955	0.703144
44.35%	0.155818	7.807307	5.240955	0.703144
元音	0.300864	7.807307	5.568455	0.729695
声效	0.622503	7.402045	5.771386	0.745122
耳语	0.267414	7.807307	5.509756	0.725089
学界	0.142619	7.807307	5.196940	0.699416
标点	0.142619	7.807307	5.196940	0.699416
test	0.142619	7.807307	5.196940	0.699416
债务	0.341980	7.807307	5.632266	0.734629
SBT	0.279986	7.807307	5.532635	0.726892
DBT	0.279986	7.807307	5.532635	0.726892
等价交换	0.149760	7.807307	5.221235	0.701479
D2BP	0.210779	7.807307	5.391274	0.715589
SGE	0.259346	7.807307	5.494501	0.723881
CLMS	0.300289	7.807307	5.567503	0.729621
最速	0.140496	7.807307	5.189482	0.698781
字形	0.538969	7.114566	5.581160	0.730684
变慢	0.140496	7.807307	5.189482	0.698781
正切	0.563054	6.709508	5.427789	0.718546
#------	0.218855	7.807307	5.409988	0.717107
观念	0.218855	7.807307	5.409988	0.717107
一本	0.243269	7.807307	5.462638	0.721343
著作	0.362535	7.402045	5.502038	0.724478
两本	0.357559	7.402045	5.495156	0.723933
名著	0.243269	7.807307	5.462638	0.721343
诞生	0.160217	7.807307	5.254803	0.704309
中叶	0.160217	7.807307	5.254803	0.704309
由仙农	0.160217	7.807307	5.254803	0.704309
冯	0.160217	7.807307	5.254803	0.704309
创立	0.160217	7.807307	5.254803	0.704309
年来	0.291636	7.402045	5.393701	0.715786
没想到	0.160217	7.807307	5.254803	0.704309
核心内容	0.366085	7.402045	5.506891	0.724862
偶然	0.350049	7.402045	5.484587	0.723093
便是	0.160217	7.807307	5.254803	0.704309
OTkn	0.330502	7.807307	5.615257	0.733322
Cheng	0.217969	7.807307	5.407969	0.716944
kang	0.217969	7.807307	5.407969	0.716944
Chu	0.217969	7.807307	5.407969	0.716944
Wen	0.217969	7.807307	5.407969	0.716944
Guey	0.217969	7.807307	5.407969	0.716944
Tzeng	0.217969	7.807307	5.407969	0.716944
产品价格	0.142941	7.807307	5.198062	0.699512
BE	0.464613	7.402045	5.625605	0.734118
行列式	0.378098	7.114566	5.404638	0.716674
高次	0.353455	7.402045	5.489409	0.723476
剩下	0.253553	7.402045	5.324062	0.710079
一变	0.135436	7.807307	5.171248	0.697222
回代	0.135436	7.807307	5.171248	0.697222
消去法	0.135436	7.807307	5.171248	0.697222
同伴	0.142619	7.807307	5.196940	0.699416
13	0.461984	6.891626	5.409294	0.717051
舍弃	0.153620	7.807307	5.233890	0.702548
效	0.153620	7.807307	5.233890	0.702548
各参	0.153620	7.807307	5.233890	0.702548
Tomography	0.304692	7.807307	5.574753	0.730186
时仅	0.155818	7.807307	5.240955	0.703144
仿真器	0.581832	6.709508	5.444121	0.719860
虫	0.287682	7.807307	5.546141	0.727952
于虫	0.154694	7.807307	5.237354	0.702841
PODDA	0.217495	7.807307	5.406887	0.716856
仿生	0.348763	7.402045	5.482755	0.722948
青蛙	0.305123	7.807307	5.575457	0.730241
侧视图	0.145711	7.807307	5.207605	0.700323
俯视图	0.145711	7.807307	5.207605	0.700323
逐点	0.267288	7.402045	5.350313	0.712242
角随	0.145711	7.807307	5.207605	0.700323
Dai	0.141990	7.807307	5.194741	0.699229
人公钥	0.141990	7.807307	5.194741	0.699229
代理人	0.141990	7.807307	5.194741	0.699229
人能	0.141990	7.807307	5.194741	0.699229
FSMM	0.216117	7.807307	5.403723	0.716600
\	0.337500	7.402045	5.466409	0.721645
典型值	0.143268	7.807307	5.199198	0.699608
MapToPoint	0.289603	7.402045	5.390219	0.715503
限制性	0.155249	7.807307	5.239137	0.702991
单圈	0.734489	7.114566	5.735377	0.742441
单字	0.610800	7.114566	5.643487	0.735489
位所	0.281576	7.807307	5.535456	0.727114
某类	0.277890	7.402045	5.369670	0.713828
拾取	0.152096	7.807307	5.228932	0.702130
AIC	0.527197	7.402045	5.688568	0.738919
IBE	0.690681	7.114566	5.704730	0.740140
所存	0.154151	7.807307	5.235606	0.702693
身份证	0.234408	7.807307	5.444165	0.719863
书	0.423105	7.114566	5.460626	0.721182
颁发	0.154151	7.807307	5.235606	0.702693
书来	0.154151	7.807307	5.235606	0.702693
Lee	0.154151	7.807307	5.235606	0.702693
2t	0.274066	7.402045	5.362774	0.713263
AdaBoost	0.149320	7.807307	5.219772	0.701355
neighbor	0.149320	7.807307	5.219772	0.701355
